date,value,volume
2024-01-22,4.08,3240410.0
2024-01-19,4.02,2691900.0
2024-01-18,4.03,2808400.0
2024-01-17,4.08,3598300.0
2024-01-16,4.14,4591500.0
2024-01-15,4.27,1790100.0
2024-01-12,4.2,3830000.0
2024-01-11,4.21,2995300.0
2024-01-10,4.22,3152600.0
2024-01-09,4.27,2754000.0
2024-01-08,4.32,3777400.0
2024-01-05,4.46,3018200.0
2024-01-04,4.43,6058700.0
2024-01-03,4.54,5353700.0
2024-01-02,4.41,3839700.0
2023-12-29,4.38,2673600.0
2023-12-28,4.36,2084000.0
2023-12-27,4.42,3750300.0
2023-12-22,4.47,5216100.0
2023-12-21,4.52,3632100.0
2023-12-20,4.47,5221400.0
2023-12-19,4.54,4216000.0
2023-12-18,4.42,4711300.0
2023-12-15,4.4,4909700.0
2023-12-14,4.48,6212400.0
2023-12-13,4.32,4864500.0
2023-12-12,4.2,5674200.0
2023-12-11,4.33,4125300.0
2023-12-08,4.44,5940402.0
2023-12-07,4.33,7267238.0
2023-12-06,4.38,10926262.0
2023-12-05,4.73,5118298.0
2023-12-04,4.93,5052921.0
2023-12-01,5.14,4536832.0
2023-11-30,5.23,6999168.0
2023-11-29,5.21,3429671.0
2023-11-28,5.17,3409102.0
2023-11-27,5.16,3009539.0
2023-11-24,5.22,3115572.0
2023-11-23,5.23,1787186.0
2023-11-22,5.19,4362932.0
2023-11-21,5.31,2602169.0
2023-11-20,5.41,3279821.0
2023-11-17,5.4,3916915.0
2023-11-16,5.21,6220608.0
2023-11-15,5.34,3780692.0
2023-11-14,5.47,3713622.0
2023-11-13,5.47,4892732.0
2023-11-10,5.59,5419687.0
2023-11-09,5.39,6734752.0
2023-11-08,5.3,8549165.0
2023-11-07,5.5,9292814.0
2023-11-06,5.88,6938053.0
2023-11-03,6.06,11629300.0
2023-11-02,6.23,7398588.0
2023-11-01,6.06,4455797.0
2023-10-31,6.0,4920063.0
2023-10-30,5.98,5109921.0
2023-10-27,6.03,5390044.0
2023-10-26,6.01,4421169.0
2023-10-25,6.01,3395833.0
2023-10-24,5.96,4099449.0
2023-10-23,6.03,3787846.0
2023-10-20,6.2,5468586.0
2023-10-19,6.31,9183138.0
2023-10-18,6.04,5750548.0
2023-10-17,5.97,3833081.0
2023-10-16,5.91,3977217.0
2023-10-13,5.94,6255096.0
2023-10-12,5.67,3316836.0
2023-10-11,5.67,5312487.0
2023-10-10,5.66,4873524.0
2023-10-06,5.41,5487721.0
2023-10-05,5.32,4524492.0
2023-10-04,5.26,7920308.0
2023-10-03,5.65,5223321.0
2023-10-02,5.62,9644933.0
2023-09-29,5.99,10142553.0
2023-09-28,5.83,3083640.0
2023-09-27,5.85,6235984.0
2023-09-26,5.65,5395694.0
2023-09-25,5.64,4085073.0
2023-09-22,5.44,3607720.0
2023-09-21,5.44,4545214.0
2023-09-20,5.57,5435463.0
2023-09-19,5.66,11655601.0
2023-09-18,5.86,3770572.0
2023-09-15,5.89,7344723.0
2023-09-14,5.94,3827589.0
2023-09-13,5.82,4100755.0
2023-09-12,5.89,5562637.0
2023-09-11,5.65,4603258.0
2023-09-08,5.73,4158386.0
2023-09-07,5.64,5100151.0
2023-09-06,5.79,5286164.0
2023-09-05,5.74,5228204.0
2023-09-01,5.69,4119378.0
2023-08-31,5.5,3299006.0
2023-08-30,5.47,2693593.0
2023-08-29,5.4,2802550.0
2023-08-28,5.36,2151275.0
2023-08-25,5.25,2433243.0
2023-08-24,5.21,2988604.0
2023-08-23,5.25,4448935.0
2023-08-22,5.35,1822605.0
2023-08-21,5.39,3013372.0
2023-08-18,5.43,3592823.0
2023-08-17,5.32,3036689.0
2023-08-16,5.28,2918754.0
2023-08-15,5.31,3417923.0
2023-08-14,5.46,3827921.0
2023-08-11,5.59,3265594.0
2023-08-10,5.48,3341214.0
2023-08-09,5.6,5410610.0
2023-08-08,5.45,4782541.0
2023-08-04,5.43,6620309.0
2023-08-03,5.39,5266832.0
2023-08-02,5.29,5215137.0
2023-08-01,5.31,4912024.0
2023-07-31,5.32,7910364.0
2023-07-28,5.32,10198255.0
2023-07-27,4.87,4900279.0
2023-07-26,4.88,3187788.0
2023-07-25,4.85,3052922.0
2023-07-24,4.87,5809961.0
2023-07-21,4.78,2781077.0
2023-07-20,4.69,2353259.0
2023-07-19,4.69,3134711.0
2023-07-18,4.69,4480999.0
2023-07-17,4.47,2932379.0
2023-07-14,4.55,4160893.0
2023-07-13,4.69,4742587.0
2023-07-12,4.65,4310143.0
2023-07-11,4.65,3209403.0
2023-07-10,4.56,6157041.0
2023-07-07,4.44,8661782.0
2023-07-06,4.22,4559400.0
2023-07-05,4.36,2889470.0
2023-07-04,4.35,1968217.0
2023-06-30,4.32,3929845.0
2023-06-29,4.28,4861199.0
2023-06-28,4.15,4583218.0
2023-06-27,3.99,5364960.0
2023-06-26,4.03,5531362.0
2023-06-23,3.9,7774769.0
2023-06-22,3.99,22882919.0
2023-06-21,4.28,10009206.0
2023-06-20,4.26,8540838.0
2023-06-19,4.39,1344874.0
2023-06-16,4.34,14015041.0
2023-06-15,4.42,2315148.0
2023-06-14,4.38,5962232.0
2023-06-13,4.52,3176920.0
2023-06-12,4.44,3331247.0
2023-06-09,4.62,2118624.0
2023-06-08,4.63,2104627.0
2023-06-07,4.71,3160781.0
2023-06-06,4.63,2845860.0
2023-06-05,4.62,2680951.0
2023-06-02,4.67,4469647.0
2023-06-01,4.43,2967219.0
2023-05-31,4.28,5318185.0
2023-05-30,4.35,3452596.0
2023-05-29,4.58,1429213.0
2023-05-26,4.53,1742943.0
2023-05-25,4.5,3343130.0
2023-05-24,4.69,2105836.0
2023-05-23,4.68,2845245.0
2023-05-19,4.62,1719720.0
2023-05-18,4.57,1658075.0
2023-05-17,4.51,4202269.0
2023-05-16,4.33,3886795.0
2023-05-15,4.49,2242907.0
2023-05-12,4.45,3050002.0
2023-05-11,4.43,3366665.0
2023-05-10,4.43,3406975.0
2023-05-09,4.54,3902965.0
2023-05-08,4.65,3701939.0
2023-05-05,4.76,4076635.0
2023-05-04,4.64,2649481.0
2023-05-03,4.58,3908662.0
2023-05-02,4.72,5914263.0
2023-05-01,5.05,2785430.0
2023-04-28,5.1,3595599.0
2023-04-27,4.93,3023568.0
2023-04-26,4.92,4676545.0
2023-04-25,5.11,3083204.0
2023-04-24,5.3,3599970.0
2023-04-21,5.08,2542314.0
2023-04-20,5.09,3251244.0
2023-04-19,5.27,3336999.0
2023-04-18,5.34,2560605.0
2023-04-17,5.36,2587170.0
2023-04-14,5.45,3271255.0
2023-04-13,5.44,3227246.0
2023-04-12,5.43,4356452.0
2023-04-11,5.45,7557540.0
2023-04-10,5.25,2431815.0
2023-04-05,5.29,2081221.0
2023-04-04,5.35,4344028.0
2023-04-03,5.42,6510827.0
2023-03-31,5.07,3194928.0
2023-03-30,5.12,2913392.0
2023-03-29,5.07,3903523.0
2023-03-28,4.97,4558355.0
2023-03-27,4.92,6084584.0
2023-03-24,4.63,5876087.0
2023-03-23,4.59,3946619.0
2023-03-22,4.64,4599013.0
2023-03-21,4.69,5443818.0
2023-03-20,4.47,4916908.0
2023-03-17,4.37,5802945.0
2023-03-16,4.53,9023403.0
2023-03-15,4.39,10586107.0
2023-03-14,4.78,7088437.0
2023-03-13,4.74,6879087.0
2023-03-10,5.02,8973999.0
2023-03-09,5.19,6768968.0
2023-03-08,5.39,3708868.0
2023-03-07,5.4,5087159.0
