Date,Open,High,Low,Close,Adj Close,Volume
1996-03-21,8.370000,8.370000,7.750000,8.370000,2.941677,17800
1996-03-22,8.500000,8.500000,8.250000,8.500000,2.987366,14500
1996-03-25,8.620000,8.620000,8.500000,8.500000,2.987366,5500
1996-03-26,8.500000,8.500000,8.370000,8.370000,2.941677,2600
1996-03-27,8.370000,8.500000,8.370000,8.500000,2.987366,11700
1996-03-28,8.500000,8.500000,8.380000,8.380000,2.945192,26500
1996-03-29,8.500000,8.500000,8.380000,8.380000,2.945192,4500
1996-04-01,8.130000,8.380000,8.130000,8.380000,2.945192,10900
1996-04-02,8.370000,8.370000,8.250000,8.370000,2.941677,8200
1996-04-03,8.250000,8.250000,7.870000,8.120000,2.853812,20100
1996-04-04,8.130000,8.130000,8.000000,8.000000,2.811640,4900
1996-04-05,null,null,null,null,null,null
1996-04-08,8.000000,8.000000,8.000000,8.000000,2.811640,8500
1996-04-09,8.000000,8.250000,8.000000,8.250000,2.899503,19900
1996-04-10,8.250000,8.370000,8.250000,8.370000,2.941677,7300
1996-04-11,8.250000,8.500000,8.250000,8.500000,2.987366,22000
1996-04-12,8.250000,8.250000,8.000000,8.000000,2.811640,10000
1996-04-15,8.250000,8.250000,8.100000,8.100000,2.846785,17600
1996-04-16,8.200000,8.250000,8.150000,8.200000,2.881930,35900
1996-04-17,8.200000,8.250000,8.200000,8.200000,2.881930,18100
1996-04-18,8.300000,8.300000,8.200000,8.200000,2.881930,17400
1996-04-19,8.200000,8.250000,8.000000,8.000000,2.811640,120300
1996-04-22,8.050000,8.150000,8.000000,8.150000,2.864357,31800
1996-04-23,8.100000,8.150000,8.050000,8.150000,2.864357,17700
1996-04-24,8.100000,8.100000,7.850000,7.900000,2.776493,34200
1996-04-25,7.850000,8.000000,7.850000,8.000000,2.811640,6500
1996-04-26,7.900000,7.950000,7.850000,7.950000,2.794066,13900
1996-04-29,7.900000,7.900000,7.850000,7.850000,2.758921,5200
1996-04-30,7.800000,7.800000,7.350000,7.750000,2.723775,42800
1996-05-01,7.800000,7.800000,7.650000,7.750000,2.723775,11300
1996-05-02,7.800000,7.800000,7.700000,7.750000,2.723775,67800
1996-05-03,7.750000,7.950000,7.750000,7.950000,2.794066,30600
1996-05-06,7.850000,7.900000,7.800000,7.800000,2.741347,38800
1996-05-07,7.900000,7.900000,7.750000,7.750000,2.723775,37100
1996-05-08,7.750000,7.800000,7.750000,7.800000,2.741347,66800
1996-05-09,7.800000,7.800000,7.750000,7.800000,2.741347,10200
1996-05-10,7.800000,7.850000,7.750000,7.800000,2.741347,28200
1996-05-13,7.750000,7.800000,7.700000,7.700000,2.706202,32700
1996-05-14,7.700000,7.750000,7.650000,7.650000,2.688631,12500
1996-05-15,7.650000,7.700000,7.400000,7.500000,2.635913,34500
1996-05-16,7.500000,7.500000,7.250000,7.250000,2.548046,14900
1996-05-17,7.300000,7.300000,7.300000,7.300000,2.565621,1900
1996-05-20,null,null,null,null,null,null
1996-05-21,7.250000,7.300000,7.050000,7.300000,2.565621,20800
1996-05-22,7.300000,7.300000,7.200000,7.200000,2.530475,11400
1996-05-23,7.300000,7.700000,7.300000,7.550000,2.653485,122500
1996-05-24,7.500000,7.700000,7.500000,7.700000,2.706202,38300
1996-05-27,7.750000,7.750000,7.600000,7.600000,2.671057,6900
1996-05-28,7.700000,7.700000,7.600000,7.600000,2.671057,1800
1996-05-29,7.650000,7.650000,7.500000,7.500000,2.635913,2500
1996-05-30,7.500000,7.500000,7.400000,7.500000,2.635913,6200
1996-05-31,7.500000,7.750000,7.500000,7.750000,2.723775,18700
1996-06-03,7.700000,7.700000,7.700000,7.700000,2.706202,2200
1996-06-04,7.800000,8.250000,7.750000,7.900000,2.776493,35000
1996-06-05,8.000000,8.000000,7.750000,7.900000,2.776493,24900
1996-06-06,7.900000,7.900000,7.500000,7.700000,2.706202,26200
1996-06-07,7.800000,7.800000,7.700000,7.750000,2.723775,41000
1996-06-10,7.800000,8.000000,7.800000,8.000000,2.811640,9800
1996-06-11,7.900000,8.800000,7.900000,8.750000,3.075231,31400
1996-06-12,8.350000,9.000000,8.100000,8.900000,3.127948,19600
1996-06-13,8.200000,8.500000,8.200000,8.200000,2.881930,17700
1996-06-14,8.200000,8.200000,8.150000,8.150000,2.864357,9300
1996-06-17,8.350000,9.000000,8.350000,8.750000,3.075231,7000
1996-06-18,8.600000,8.750000,8.500000,8.700000,3.057658,9000
1996-06-19,8.500000,8.600000,8.500000,8.600000,3.022514,9300
1996-06-20,8.500000,8.500000,8.400000,8.500000,2.987366,9300
1996-06-21,8.400000,8.400000,8.200000,8.200000,2.881930,2700
1996-06-24,8.350000,8.350000,8.300000,8.350000,2.934646,6100
1996-06-25,8.350000,8.450000,8.350000,8.450000,2.969794,9600
1996-06-26,8.400000,8.450000,8.400000,8.450000,2.969794,3000
1996-06-27,8.300000,8.300000,8.250000,8.250000,2.899503,6000
1996-06-28,8.250000,8.450000,8.250000,8.450000,2.969794,6600
1996-07-01,null,null,null,null,null,null
1996-07-02,8.500000,8.750000,8.500000,8.550000,3.004937,8700
1996-07-03,8.600000,8.600000,8.500000,8.600000,3.022514,21500
1996-07-04,8.650000,8.650000,8.650000,8.650000,3.040086,100
1996-07-05,8.650000,8.650000,8.650000,8.650000,3.040086,1500
1996-07-08,8.650000,8.650000,8.450000,8.450000,2.969794,24500
1996-07-09,8.500000,8.500000,8.400000,8.400000,2.952221,3300
1996-07-10,8.400000,8.550000,8.350000,8.350000,2.934646,31100
1996-07-11,8.300000,8.350000,8.000000,8.300000,2.917074,12800
1996-07-12,8.300000,8.300000,8.200000,8.200000,2.881930,2200
1996-07-15,8.250000,8.350000,8.200000,8.200000,2.881930,866400
1996-07-16,8.400000,8.400000,8.150000,8.250000,2.899503,100600
1996-07-17,8.250000,8.350000,8.200000,8.350000,2.934646,122000
1996-07-18,8.450000,9.500000,8.300000,9.450000,3.321247,75000
1996-07-19,9.400000,9.700000,9.350000,9.650000,3.391539,57700
1996-07-22,9.500000,9.500000,9.250000,9.500000,3.338819,44500
1996-07-23,9.500000,9.600000,9.400000,9.600000,3.373966,39200
1996-07-24,9.500000,9.600000,9.400000,9.600000,3.373966,22900
1996-07-25,9.700000,9.800000,9.500000,9.800000,3.444259,11800
1996-07-26,10.000000,10.200000,9.950000,10.150000,3.567266,49500
1996-07-29,10.150000,10.150000,9.900000,9.900000,3.479402,25100
1996-07-30,10.000000,10.000000,9.800000,9.800000,3.444259,32100
1996-07-31,9.900000,10.000000,9.900000,9.900000,3.479402,62300
1996-08-01,10.000000,10.100000,9.900000,10.000000,3.514549,15800
1996-08-02,10.000000,10.100000,9.900000,10.000000,3.514549,51900
1996-08-05,null,null,null,null,null,null
1996-08-06,10.000000,10.000000,9.900000,9.900000,3.479402,12000
1996-08-07,10.000000,10.000000,9.850000,9.950000,3.496978,11300
1996-08-08,9.850000,9.850000,9.850000,9.850000,3.461831,12000
1996-08-09,9.850000,9.900000,9.850000,9.900000,3.479402,50500
1996-08-12,9.850000,10.100000,9.850000,10.100000,3.549695,71100
1996-08-13,9.900000,10.000000,9.900000,9.950000,3.496978,34500
1996-08-14,9.900000,9.900000,9.850000,9.850000,3.461831,12900
1996-08-15,9.900000,9.900000,9.850000,9.850000,3.461831,6700
1996-08-16,9.950000,9.950000,9.850000,9.900000,3.479402,5500
1996-08-19,9.850000,9.900000,9.850000,9.900000,3.479402,14100
1996-08-20,9.800000,10.150000,9.800000,10.150000,3.567266,34600
1996-08-21,10.150000,10.250000,10.150000,10.200000,3.584838,28600
1996-08-22,10.250000,10.250000,10.000000,10.000000,3.514549,23400
1996-08-23,10.100000,10.100000,9.800000,9.800000,3.444259,15300
1996-08-26,10.000000,10.100000,9.900000,10.100000,3.549695,43300
1996-08-27,10.000000,10.300000,10.000000,10.100000,3.549695,19900
1996-08-28,10.400000,10.400000,10.100000,10.300000,3.619987,18900
1996-08-29,10.200000,10.300000,10.200000,10.300000,3.619987,72600
1996-08-30,10.300000,10.450000,10.300000,10.450000,3.672702,13400
1996-09-02,null,null,null,null,null,null
1996-09-03,10.550000,10.550000,10.250000,10.350000,3.637558,14400
1996-09-04,10.400000,10.400000,10.250000,10.350000,3.637558,25600
1996-09-05,10.350000,10.400000,10.250000,10.250000,3.602415,52800
1996-09-06,10.450000,10.550000,10.400000,10.400000,3.655131,35000
1996-09-09,10.550000,11.100000,10.500000,11.100000,3.901149,34900
1996-09-10,11.100000,11.200000,11.000000,11.000000,3.866004,28300
1996-09-11,11.000000,11.250000,10.850000,11.200000,3.936296,67800
1996-09-12,11.200000,11.200000,11.100000,11.100000,3.901149,20800
1996-09-13,11.200000,11.200000,11.100000,11.200000,3.936296,15800
1996-09-16,11.200000,11.200000,11.100000,11.100000,3.901149,2800
1996-09-17,11.100000,11.100000,11.000000,11.000000,3.866004,5200
1996-09-18,11.100000,11.250000,10.900000,10.900000,3.830861,16100
1996-09-19,10.750000,11.000000,10.750000,11.000000,3.866004,23700
1996-09-20,11.000000,11.000000,10.900000,10.900000,3.830861,25100
1996-09-23,10.750000,11.200000,10.750000,11.000000,3.866004,20500
1996-09-24,10.900000,11.100000,10.800000,11.000000,3.866004,15300
1996-09-25,11.000000,11.050000,10.750000,11.000000,3.866004,123200
1996-09-26,11.000000,11.050000,11.000000,11.050000,3.883577,60900
1996-09-27,11.000000,11.000000,10.800000,10.850000,3.813287,6400
1996-09-30,10.900000,10.900000,10.750000,10.800000,3.795712,12800
1996-10-01,10.700000,11.100000,10.700000,10.750000,3.778138,46500
1996-10-02,10.950000,10.950000,10.700000,10.700000,3.760565,100400
1996-10-03,10.600000,10.800000,10.600000,10.800000,3.795712,13900
1996-10-04,10.750000,10.800000,10.750000,10.800000,3.795712,21600
1996-10-07,10.800000,10.900000,10.750000,10.900000,3.830861,3900
1996-10-08,10.900000,11.450000,10.900000,11.350000,3.989014,318900
1996-10-09,11.400000,11.400000,11.300000,11.400000,4.006586,79800
1996-10-10,11.400000,11.400000,11.300000,11.300000,3.971439,44300
1996-10-11,11.300000,11.350000,11.300000,11.350000,3.989014,38100
1996-10-14,null,null,null,null,null,null
1996-10-15,11.300000,11.300000,11.250000,11.300000,3.971439,23900
1996-10-16,11.300000,11.300000,11.250000,11.250000,3.953866,36400
1996-10-17,11.250000,11.350000,11.250000,11.250000,3.953866,73300
1996-10-18,11.300000,11.450000,11.300000,11.400000,4.006586,19600
1996-10-21,11.300000,11.400000,11.300000,11.400000,4.006586,18300
1996-10-22,11.350000,11.500000,11.250000,11.250000,3.953866,31400
1996-10-23,11.300000,11.550000,11.250000,11.550000,4.059304,362600
1996-10-24,11.550000,11.550000,11.450000,11.550000,4.059304,30100
1996-10-25,11.450000,11.500000,11.400000,11.400000,4.006586,72400
