Date,Open,High,Low,Close,Adj Close,Volume
1996-03-21,4953.399902,4957.500000,4940.600098,4946.700195,4946.700195,777900
1996-03-22,4955.100098,4955.100098,4938.299805,4952.600098,4952.600098,774300
1996-03-25,4969.299805,4970.399902,4957.200195,4967.299805,4967.299805,689500
1996-03-26,4963.600098,4986.200195,4960.799805,4985.200195,4985.200195,865500
1996-03-27,4983.299805,5004.799805,4982.700195,4987.500000,4987.500000,943500
1996-03-28,4974.200195,4983.399902,4966.500000,4975.200195,4975.200195,982900
1996-03-29,4977.600098,4992.299805,4967.600098,4970.799805,4970.799805,84600
1996-04-01,4970.200195,4994.299805,4970.200195,4994.299805,4994.299805,824900
1996-04-02,5007.899902,5024.799805,5007.899902,5024.799805,5024.799805,940300
1996-04-03,5019.899902,5027.700195,5018.100098,5021.500000,5021.500000,197000
1996-04-04,5018.600098,5021.399902,5010.100098,5016.399902,5016.399902,896800
1996-04-05,null,null,null,null,null,null
1996-04-08,4956.000000,5004.000000,4949.100098,5004.000000,5004.000000,612800
1996-04-09,5008.399902,5010.899902,4994.799805,5007.299805,5007.299805,927500
1996-04-10,5003.500000,5031.899902,5002.299805,5023.600098,5023.600098,195400
1996-04-11,5031.399902,5033.500000,5014.399902,5027.700195,5027.700195,130200
1996-04-12,5023.100098,5027.700195,5010.799805,5021.899902,5021.899902,914500
1996-04-15,5016.299805,5059.000000,5012.700195,5059.000000,5059.000000,719300
1996-04-16,5070.700195,5087.500000,5070.700195,5085.399902,5085.399902,1341300
1996-04-17,5080.799805,5086.100098,5061.200195,5062.899902,5062.899902,365600
1996-04-18,5069.500000,5075.200195,5065.899902,5068.700195,5068.700195,1126300
1996-04-19,5067.100098,5076.299805,5066.899902,5069.600098,5069.600098,107100
1996-04-22,5079.100098,5095.500000,5079.100098,5095.500000,5095.500000,896800
1996-04-23,5105.299805,5116.899902,5100.799805,5116.899902,5116.899902,960200
1996-04-24,5119.399902,5120.700195,5107.700195,5116.299805,5116.299805,39900
1996-04-25,5118.799805,5133.899902,5115.200195,5132.100098,5132.100098,995600
1996-04-26,5134.299805,5149.799805,5133.899902,5147.799805,5147.799805,986200
1996-04-29,5143.299805,5153.299805,5142.399902,5152.399902,5152.399902,878200
1996-04-30,5152.399902,5154.299805,5137.299805,5146.500000,5146.500000,50800
